datetime,portfolio_value,cash,positions,return
2023-01-03 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2023-01-03 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-03 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-03 09:31:00-05:00,100000.0,83027.1219180664,"[{'asset': USD, 'quantity': 83027.1219180664}, {'asset': AAPL, 'quantity': 130.27999877929688}]",0.0
2023-01-03 09:32:00-05:00,100000.0,66054.24383613281,"[{'asset': USD, 'quantity': 66054.24383613281}, {'asset': AAPL, 'quantity': 260.55999755859375}]",0.0
2023-01-03 09:33:00-05:00,100000.0,49081.365754199214,"[{'asset': USD, 'quantity': 49081.365754199214}, {'asset': AAPL, 'quantity': 390.8399963378906}]",0.0
2023-01-03 09:34:00-05:00,100000.0,32108.48767226562,"[{'asset': USD, 'quantity': 32108.48767226562}, {'asset': AAPL, 'quantity': 521.1199951171875}]",0.0
2023-01-03 09:35:00-05:00,100000.0,15135.609590332024,"[{'asset': USD, 'quantity': 15135.609590332024}, {'asset': AAPL, 'quantity': 651.3999938964844}]",0.0
2023-01-03 09:36:00-05:00,100000.0,-1837.2684916015714,"[{'asset': USD, 'quantity': -1837.2684916015714}, {'asset': AAPL, 'quantity': 781.6799926757812}]",0.0
2023-01-03 09:37:00-05:00,100000.0,-18810.146573535167,"[{'asset': USD, 'quantity': -18810.146573535167}, {'asset': AAPL, 'quantity': 911.9599914550781}]",0.0
2023-01-03 09:38:00-05:00,100000.0,-35783.02465546876,"[{'asset': USD, 'quantity': -35783.02465546876}, {'asset': AAPL, 'quantity': 1042.239990234375}]",0.0
2023-01-03 09:39:00-05:00,100000.0,-52755.90273740236,"[{'asset': USD, 'quantity': -52755.90273740236}, {'asset': AAPL, 'quantity': 1172.5199890136719}]",0.0
2023-01-03 09:40:00-05:00,100000.0,-69728.78081933595,"[{'asset': USD, 'quantity': -69728.78081933595}, {'asset': AAPL, 'quantity': 1302.7999877929688}]",0.0
