time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,BuyEveryDay,bf68371133964220a80c0acd3b5fe486,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,BuyEveryDay,bf68371133964220a80c0acd3b5fe486,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:31:00-05:00,BuyEveryDay,92e7e59225a848438eb7a012e2050ccd,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:31:00-05:00,BuyEveryDay,92e7e59225a848438eb7a012e2050ccd,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:32:00-05:00,BuyEveryDay,2dc9b1c7c667488391547ebd68b2ad85,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:32:00-05:00,BuyEveryDay,2dc9b1c7c667488391547ebd68b2ad85,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:33:00-05:00,BuyEveryDay,05ce8697462a4d248ffa01b16da13b44,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:33:00-05:00,BuyEveryDay,05ce8697462a4d248ffa01b16da13b44,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:34:00-05:00,BuyEveryDay,10609b955998409582a317180936bb87,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:34:00-05:00,BuyEveryDay,10609b955998409582a317180936bb87,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:35:00-05:00,BuyEveryDay,6f54a4510250437cad779c2c5c132a5e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:35:00-05:00,BuyEveryDay,6f54a4510250437cad779c2c5c132a5e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:36:00-05:00,BuyEveryDay,b10d7b334c8c431db48d9fca8a9ac5df,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:36:00-05:00,BuyEveryDay,b10d7b334c8c431db48d9fca8a9ac5df,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:37:00-05:00,BuyEveryDay,14f6cced2c7249b68e79e858de1605f2,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:37:00-05:00,BuyEveryDay,14f6cced2c7249b68e79e858de1605f2,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:38:00-05:00,BuyEveryDay,4a37ad33b87d4460bf45668183e0bc92,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:38:00-05:00,BuyEveryDay,4a37ad33b87d4460bf45668183e0bc92,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:39:00-05:00,BuyEveryDay,0f55b5a112124c749093bc6b3ba8285e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:39:00-05:00,BuyEveryDay,0f55b5a112124c749093bc6b3ba8285e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:40:00-05:00,BuyEveryDay,df550dd40b134eafa65b315c5ad8860e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:40:00-05:00,BuyEveryDay,df550dd40b134eafa65b315c5ad8860e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:41:00-05:00,BuyEveryDay,42fcb3a22fe44129a49b3f41e15380ad,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:41:00-05:00,BuyEveryDay,42fcb3a22fe44129a49b3f41e15380ad,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
2023-01-03 09:42:00-05:00,BuyEveryDay,b8f7b609e6c44f3d90ce31cd4fa0a09e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:42:00-05:00,BuyEveryDay,b8f7b609e6c44f3d90ce31cd4fa0a09e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,130.27999877929688,0.0
