Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,61.0%
,,
Total Return,27%,0%
CAGR% (Annual Return),27.25%,0.01%
,,
Sharpe,1.51,-1873.86
RoMaD,2.73,2.26
Corr to Benchmark,1.0,0.29
Prob. Sharpe Ratio,81.55%,80.07%
Smart Sharpe,1.46,-1813.78
Sortino,2.31,-19.1
Smart Sortino,2.24,-18.49
Sortino/√2,1.64,-13.51
Smart Sortino/√2,1.58,-13.08
Omega,0.0,0.0
,,
Max Drawdown,-9.97%,-0.0%
Longest DD Days,121,135
Volatility (ann.),13.12%,0.0%
R^2,0.08,0.08
Information Ratio,-0.1,-0.1
Calmar,2.73,2.26
Skew,0.1,0.0
Kurtosis,1.08,8.62
,,
Expected Daily%,0.07%,0.0%
Expected Monthly%,1.99%,0.0%
Expected Yearly%,26.74%,0.0%
Daily Value-at-Risk,-1.06%,-0.0%
Expected Shortfall (cVaR),-1.06%,-0.0%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,26.74%,0.0%
3Y (ann.),27.25%,0.01%
5Y (ann.),27.25%,0.01%
10Y (ann.),27.25%,0.01%
All-time (ann.),27.25%,0.01%
,,
Best Day,2.29%,0.0%
Worst Day,-2.01%,-0.0%
Best Month,9.13%,0.0%
Worst Month,-4.77%,-0.0%
Best Year,26.74%,0.0%
Worst Year,26.74%,0.0%
,,
Avg. Drawdown,-1.7%,-0.0%
Avg. Drawdown Days,14,11
Recovery Factor,2.46,2.22
Ulcer Index,0.03,0.0
Serenity Index,0.69,-590.1
,,
Avg. Up Month,4.5%,0.0%
Avg. Down Month,-2.84%,-0.0%
Win Days,203.23,207.37
Loss Days,156.77,152.63
Win Days%,56.45%,57.6%
Win Month%,66.67%,75.0%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,29.12%
Treynor Ratio,-,-86632.73%
