time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,BuyEveryDay,24563b642f644367ace706b6cf87b537,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,BuyEveryDay,24563b642f644367ace706b6cf87b537,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,0.07675775325221391,0.0
2023-01-04 09:30:00-05:00,BuyEveryDay,6ccef096d7dc410aacb5b203cff3cb9e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,BuyEveryDay,6ccef096d7dc410aacb5b203cff3cb9e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.88999938964844,0.07880841711798282,0.0
2023-01-05 09:30:00-05:00,BuyEveryDay,ed29c5bf4c3a48c4a1087cae17922b8e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,BuyEveryDay,ed29c5bf4c3a48c4a1087cae17922b8e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,127.12999725341797,0.07865964143825342,0.0
2023-01-06 09:30:00-05:00,BuyEveryDay,56101e71a48e408187bfbafe2c7de97b,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 09:30:00-05:00,BuyEveryDay,56101e71a48e408187bfbafe2c7de97b,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.01000213623047,0.07935877970376444,0.0
2023-01-09 09:30:00-05:00,BuyEveryDay,8dc0bab1d22e48e593c7784b87ef2011,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,BuyEveryDay,8dc0bab1d22e48e593c7784b87ef2011,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.47000122070312,0.07664597153704318,0.0
2023-01-10 09:30:00-05:00,BuyEveryDay,addea2d12cc94adab6d005661557adec,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,BuyEveryDay,addea2d12cc94adab6d005661557adec,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.25999450683594,0.07676954108481256,0.0
2023-01-11 09:30:00-05:00,BuyEveryDay,72b5dc7734804e87bd55b2eb260e1bb1,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,BuyEveryDay,72b5dc7734804e87bd55b2eb260e1bb1,AAPL,buy,market,fill,1,gtc,0.0,1,stock,131.25,0.0761904761904762,0.0
2023-01-12 09:30:00-05:00,BuyEveryDay,4f5ee3b100f84c6db0c2c6ac18e50ee6,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-12 09:30:00-05:00,BuyEveryDay,4f5ee3b100f84c6db0c2c6ac18e50ee6,AAPL,buy,market,fill,1,gtc,0.0,1,stock,133.8800048828125,0.07469375287783396,0.0
2023-01-13 09:30:00-05:00,BuyEveryDay,5fac66b15ac14aa780ca444a42a4540a,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,BuyEveryDay,5fac66b15ac14aa780ca444a42a4540a,AAPL,buy,market,fill,1,gtc,0.0,1,stock,132.02999877929688,0.0757403627391994,0.0
2023-01-17 09:30:00-05:00,BuyEveryDay,2c2a7e3e7a4b4247a6a60c34b97d37fe,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-17 09:30:00-05:00,BuyEveryDay,2c2a7e3e7a4b4247a6a60c34b97d37fe,AAPL,buy,market,fill,1,gtc,0.0,1,stock,134.8300018310547,0.07416746914036422,0.0
2023-01-18 09:30:00-05:00,BuyEveryDay,3d697f082f95431d894e4a971a310b3c,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,BuyEveryDay,3d697f082f95431d894e4a971a310b3c,AAPL,buy,market,fill,1,gtc,0.0,1,stock,136.82000732421875,0.07308872580530759,0.0
2023-01-19 09:30:00-05:00,BuyEveryDay,f2635ce89799485aab93c43cdbf06da1,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,BuyEveryDay,f2635ce89799485aab93c43cdbf06da1,AAPL,buy,market,fill,1,gtc,0.0,1,stock,134.0800018310547,0.07458233788361919,0.0
2023-01-20 09:30:00-05:00,BuyEveryDay,b2359513fa0848f19108a4faef36cc14,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,BuyEveryDay,b2359513fa0848f19108a4faef36cc14,AAPL,buy,market,fill,1,gtc,0.0,1,stock,135.27999877929688,0.07392075761557731,0.0
2023-01-23 09:30:00-05:00,BuyEveryDay,21d48b2960c546aeb640445f80b869b8,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-23 09:30:00-05:00,BuyEveryDay,21d48b2960c546aeb640445f80b869b8,AAPL,buy,market,fill,1,gtc,0.0,1,stock,138.1199951171875,0.0724008134485925,0.0
2023-01-24 09:30:00-05:00,BuyEveryDay,1b06fde42f774a68ad60aa4f8e16be95,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-24 09:30:00-05:00,BuyEveryDay,1b06fde42f774a68ad60aa4f8e16be95,AAPL,buy,market,fill,1,gtc,0.0,1,stock,140.30999755859375,0.0712707588482708,0.0
2023-01-25 09:30:00-05:00,BuyEveryDay,4065baa01b5d498ab83bba1433538f30,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-25 09:30:00-05:00,BuyEveryDay,4065baa01b5d498ab83bba1433538f30,AAPL,buy,market,fill,1,gtc,0.0,1,stock,140.88999938964844,0.07097735853020896,0.0
2023-01-26 09:30:00-05:00,BuyEveryDay,ef4f6556c34b4367b8348b098fbf137f,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
