datetime,portfolio_value,cash,positions,return
2023-01-03 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2023-01-03 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-03 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-10 09:30:00-05:00,99999.99846451699,99990.0,"[{'asset': USD, 'quantity': 99990.0}, {'asset': AAPL, 'quantity': 0.07675775325221391}]",-1.5354830074088e-08
2023-01-17 09:30:00-05:00,100000.70008537658,99980.0,"[{'asset': USD, 'quantity': 99980.0}, {'asset': AAPL, 'quantity': 0.15352729433702647}]",7.016208703580773e-06
2023-01-24 09:30:00-05:00,100001.94785170762,99970.0,"[{'asset': USD, 'quantity': 99970.0}, {'asset': AAPL, 'quantity': 0.2276947634773907}]",1.2477575956681974e-05
2023-01-31 09:30:00-05:00,100002.6623791235,99960.0,"[{'asset': USD, 'quantity': 99960.0}, {'asset': AAPL, 'quantity': 0.2989655223256615}]",7.1451349821227694e-06
2023-02-07 09:30:00-05:00,100005.5925783369,99950.0,"[{'asset': USD, 'quantity': 99950.0}, {'asset': AAPL, 'quantity': 0.3690426086175907}]",2.9301212024712697e-05
2023-02-14 09:30:00-05:00,100006.23700701515,99940.0,"[{'asset': USD, 'quantity': 99940.0}, {'asset': AAPL, 'quantity': 0.4354260395822563}]",6.443926400923061e-06
2023-02-21 09:30:00-05:00,100005.2747737876,99930.0,"[{'asset': USD, 'quantity': 99930.0}, {'asset': AAPL, 'quantity': 0.501163617290541}]",-9.621732167341968e-06
2023-02-28 09:30:00-05:00,100003.48639148126,99920.0,"[{'asset': USD, 'quantity': 99920.0}, {'asset': AAPL, 'quantity': 0.5677415147817502}]",-1.78828797819941e-05
2023-03-07 09:30:00-05:00,100007.71409579852,99910.0,"[{'asset': USD, 'quantity': 99910.0}, {'asset': AAPL, 'quantity': 0.6357455936152627}]",4.227556928082521e-05
2023-03-14 10:30:00-04:00,100005.95507306508,99900.0,"[{'asset': USD, 'quantity': 99900.0}, {'asset': AAPL, 'quantity': 0.7008074036253661}]",-1.7588870512064148e-05
