time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,BuyEveryDay,c941d71609e6421181011500a00fd7e8,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,BuyEveryDay,c941d71609e6421181011500a00fd7e8,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,0.07675775325221391,0.0
2023-01-10 09:30:00-05:00,BuyEveryDay,6518eb1d7f7342019e4675e10e721805,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,BuyEveryDay,6518eb1d7f7342019e4675e10e721805,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.25999450683594,0.07676954108481256,0.0
2023-01-17 09:30:00-05:00,BuyEveryDay,87c18ade2ed848f2b5e8765e1c6f84b3,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-17 09:30:00-05:00,BuyEveryDay,87c18ade2ed848f2b5e8765e1c6f84b3,AAPL,buy,market,fill,1,gtc,0.0,1,stock,134.8300018310547,0.07416746914036422,0.0
2023-01-24 09:30:00-05:00,BuyEveryDay,f2325c51e2ab4b069d6e611f3c8919a6,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-24 09:30:00-05:00,BuyEveryDay,f2325c51e2ab4b069d6e611f3c8919a6,AAPL,buy,market,fill,1,gtc,0.0,1,stock,140.30999755859375,0.0712707588482708,0.0
2023-01-31 09:30:00-05:00,BuyEveryDay,85fed8f91cac4368af145bce5dc60ba4,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-31 09:30:00-05:00,BuyEveryDay,85fed8f91cac4368af145bce5dc60ba4,AAPL,buy,market,fill,1,gtc,0.0,1,stock,142.6999969482422,0.07007708629192919,0.0
2023-02-07 09:30:00-05:00,BuyEveryDay,ccbe3458999345fd986d1accb7e5129b,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-07 09:30:00-05:00,BuyEveryDay,ccbe3458999345fd986d1accb7e5129b,AAPL,buy,market,fill,1,gtc,0.0,1,stock,150.63999938964844,0.06638343096466563,0.0
2023-02-14 09:30:00-05:00,BuyEveryDay,ae062d21ecc14e57b31a0a7330cb45e6,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-14 09:30:00-05:00,BuyEveryDay,ae062d21ecc14e57b31a0a7330cb45e6,AAPL,buy,market,fill,1,gtc,0.0,1,stock,152.1199951171875,0.06573757770828469,0.0
2023-02-21 09:30:00-05:00,BuyEveryDay,09892e072573449382f1c914d5f75d85,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-21 09:30:00-05:00,BuyEveryDay,09892e072573449382f1c914d5f75d85,AAPL,buy,market,fill,1,gtc,0.0,1,stock,150.1999969482422,0.06657789749120918,0.0
2023-02-28 09:30:00-05:00,BuyEveryDay,b495bcf4a6a74c24b8570b166e301151,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-28 09:30:00-05:00,BuyEveryDay,b495bcf4a6a74c24b8570b166e301151,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.0500030517578,0.06800407883351256,0.0
2023-03-07 09:30:00-05:00,BuyEveryDay,aabab2135df2438b9aee57a87e27fe2e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-07 09:30:00-05:00,BuyEveryDay,aabab2135df2438b9aee57a87e27fe2e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,153.6999969482422,0.06506181001010336,0.0
2023-03-14 10:30:00-04:00,BuyEveryDay,ebc070fc08264289bc37cb052e5379f8,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-14 10:30:00-04:00,BuyEveryDay,ebc070fc08264289bc37cb052e5379f8,AAPL,buy,market,fill,1,gtc,0.0,1,stock,151.19000244140625,0.06614193953648162,0.0
