Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,60.0%
,,
Total Return,27%,0%
CAGR% (Annual Return),27.16%,0.35%
,,
Sharpe,1.51,-15.72
RoMaD,2.73,1.19
Corr to Benchmark,1.0,0.27
Prob. Sharpe Ratio,81.51%,56.43%
Smart Sharpe,1.5,-15.68
Sortino,2.31,-12.72
Smart Sortino,2.31,-12.69
Sortino/√2,1.63,-8.99
Smart Sortino/√2,1.63,-8.97
Omega,0.11,0.11
,,
Max Drawdown,-9.97%,-0.3%
Longest DD Days,121,108
Volatility (ann.),13.1%,0.3%
R^2,0.07,0.07
Information Ratio,-0.1,-0.1
Calmar,2.73,1.19
Skew,0.1,-1.69
Kurtosis,1.09,17.46
,,
Expected Daily%,0.07%,0.0%
Expected Monthly%,1.99%,0.03%
Expected Yearly%,26.74%,0.35%
Daily Value-at-Risk,-1.06%,-0.02%
Expected Shortfall (cVaR),-1.06%,-0.02%
,,
MTD,4.57%,0.05%
3M,11.64%,0.28%
6M,9.33%,0.09%
YTD,26.74%,0.35%
1Y,26.74%,0.35%
3Y (ann.),27.16%,0.35%
5Y (ann.),27.16%,0.35%
10Y (ann.),27.16%,0.35%
All-time (ann.),27.16%,0.35%
,,
Best Day,2.29%,0.06%
Worst Day,-2.01%,-0.13%
Best Month,9.13%,0.24%
Worst Month,-4.73%,-0.18%
Best Year,26.74%,0.35%
Worst Year,26.74%,0.35%
,,
Avg. Drawdown,-1.7%,-0.03%
Avg. Drawdown Days,14,10
Recovery Factor,2.46,1.18
Ulcer Index,0.03,0.0
Serenity Index,0.68,-4.23
,,
Avg. Up Month,4.5%,0.07%
Avg. Down Month,-2.84%,-0.08%
Win Days,203.79,205.57
Loss Days,157.21,155.43
Win Days%,56.45%,56.94%
Win Month%,66.67%,75.0%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.01
Alpha,-,0.0
Correlation,-,26.57%
Treynor Ratio,-,-797.32%
