time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,BuyEveryDay,a189c40a764143d784388aa3e8f8c67c,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,BuyEveryDay,a189c40a764143d784388aa3e8f8c67c,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,0.07675775325221391,0.0
2023-01-04 09:30:00-05:00,BuyEveryDay,fd134d5f11f946afbc0362f6f5103282,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,BuyEveryDay,fd134d5f11f946afbc0362f6f5103282,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.88999938964844,0.07880841711798282,0.0
2023-01-05 09:30:00-05:00,BuyEveryDay,c94535b3d7fa462e9ffba50b2b9085cd,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,BuyEveryDay,c94535b3d7fa462e9ffba50b2b9085cd,AAPL,buy,market,fill,1,gtc,0.0,1,stock,127.12999725341797,0.07865964143825342,0.0
2023-01-06 09:30:00-05:00,BuyEveryDay,38fccd4c3b7d45d9a4fa34e5d291a33e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 09:30:00-05:00,BuyEveryDay,38fccd4c3b7d45d9a4fa34e5d291a33e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,126.01000213623047,0.07935877970376444,0.0
2023-01-09 09:30:00-05:00,BuyEveryDay,85fc39afacaa4a6c833feb4211359c1d,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,BuyEveryDay,85fc39afacaa4a6c833feb4211359c1d,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.47000122070312,0.07664597153704318,0.0
2023-01-10 09:30:00-05:00,BuyEveryDay,96548f16e2c14386b3321f34ac659f83,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,BuyEveryDay,96548f16e2c14386b3321f34ac659f83,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.25999450683594,0.07676954108481256,0.0
