Metric,SPY,Strategy
Risk-Free Rate,5.23%,5.23%
Time in Market,68.0%,15.0%
,,
Total Return,24%,0%
CAGR% (Annual Return),24.98%,0.44%
,,
Sharpe,1.4,-6.77
RoMaD,2.51,0.83
Corr to Benchmark,1.0,0.15
Prob. Sharpe Ratio,78.45%,36.87%
Smart Sharpe,1.39,-6.74
Sortino,2.12,-7.58
Smart Sortino,2.11,-7.54
Sortino/√2,1.5,-5.36
Smart Sortino/√2,1.49,-5.33
Omega,0.26,0.26
,,
Max Drawdown,-9.97%,-0.54%
Longest DD Days,121,112
Volatility (ann.),12.87%,0.69%
R^2,0.02,0.02
Information Ratio,-0.09,-0.09
Calmar,2.51,0.83
Skew,0.04,-1.98
Kurtosis,1.05,25.04
,,
Expected Daily%,0.06%,0.0%
Expected Monthly%,1.7%,0.03%
Expected Yearly%,11.55%,0.22%
Daily Value-at-Risk,-1.04%,-0.06%
Expected Shortfall (cVaR),-1.04%,-0.06%
,,
MTD,0.0%,0.0%
3M,11.69%,0.35%
6M,7.93%,-0.05%
YTD,0.0%,0.0%
1Y,24.44%,0.44%
3Y (ann.),24.98%,0.44%
5Y (ann.),24.98%,0.44%
10Y (ann.),24.98%,0.44%
All-time (ann.),24.98%,0.44%
,,
Best Day,1.99%,0.18%
Worst Day,-2.01%,-0.27%
Best Month,9.13%,0.54%
Worst Month,-4.77%,-0.4%
Best Year,24.44%,0.44%
Worst Year,0.0%,0.0%
,,
Avg. Drawdown,-1.81%,-0.12%
Avg. Drawdown Days,15,21
Recovery Factor,2.28,0.81
Ulcer Index,0.03,0.0
Serenity Index,0.61,-2.13
,,
Avg. Up Month,4.21%,0.17%
Avg. Down Month,-3.2%,-0.27%
Win Days,203.04,223.53
Loss Days,155.96,135.47
Win Days%,56.56%,62.26%
Win Month%,66.67%,75.0%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.01
Alpha,-,0.0
Correlation,-,14.88%
Treynor Ratio,-,-603.32%
