time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,BuyEveryDay,59b5120b8ac24e41a75bda8cc958977e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,BuyEveryDay,59b5120b8ac24e41a75bda8cc958977e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.27999877929688,0.7675775325221392,0.0
2023-01-10 09:30:00-05:00,BuyEveryDay,5fadbc8b7b9a4795b6f9bbd0c925d5cf,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,BuyEveryDay,5fadbc8b7b9a4795b6f9bbd0c925d5cf,AAPL,buy,market,fill,1,gtc,0.0,1,stock,130.25999450683594,0.7676954108481256,0.0
2023-01-17 09:30:00-05:00,BuyEveryDay,da81918a08aa4d31befaa264f6e4d47b,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-17 09:30:00-05:00,BuyEveryDay,da81918a08aa4d31befaa264f6e4d47b,AAPL,buy,market,fill,1,gtc,0.0,1,stock,134.8300018310547,0.7416746914036422,0.0
2023-01-24 09:30:00-05:00,BuyEveryDay,6aa73e7071014bc0b492660ef55c3610,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-24 09:30:00-05:00,BuyEveryDay,6aa73e7071014bc0b492660ef55c3610,AAPL,buy,market,fill,1,gtc,0.0,1,stock,140.30999755859375,0.712707588482708,0.0
2023-01-31 09:30:00-05:00,BuyEveryDay,047331b357c346108070d68872fe4efe,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-31 09:30:00-05:00,BuyEveryDay,047331b357c346108070d68872fe4efe,AAPL,buy,market,fill,1,gtc,0.0,1,stock,142.6999969482422,0.7007708629192919,0.0
2023-02-07 09:30:00-05:00,BuyEveryDay,8631c6b5c4034f269719eeb8cea8e6f2,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-07 09:30:00-05:00,BuyEveryDay,8631c6b5c4034f269719eeb8cea8e6f2,AAPL,buy,market,fill,1,gtc,0.0,1,stock,150.63999938964844,0.6638343096466564,0.0
2023-02-14 09:30:00-05:00,BuyEveryDay,1a19ce55955947ef8e42293162333eea,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-14 09:30:00-05:00,BuyEveryDay,1a19ce55955947ef8e42293162333eea,AAPL,buy,market,fill,1,gtc,0.0,1,stock,152.1199951171875,0.6573757770828469,0.0
2023-02-21 09:30:00-05:00,BuyEveryDay,de2c559a57a1470ba7bff341384ead02,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-21 09:30:00-05:00,BuyEveryDay,de2c559a57a1470ba7bff341384ead02,AAPL,buy,market,fill,1,gtc,0.0,1,stock,150.1999969482422,0.6657789749120918,0.0
2023-02-28 09:30:00-05:00,BuyEveryDay,1412d59171eb4c4a93d0e2213d3c55d5,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-28 09:30:00-05:00,BuyEveryDay,1412d59171eb4c4a93d0e2213d3c55d5,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.0500030517578,0.6800407883351255,0.0
2023-03-07 09:30:00-05:00,BuyEveryDay,23529bcffc574de39e522a842da38992,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-07 09:30:00-05:00,BuyEveryDay,23529bcffc574de39e522a842da38992,AAPL,buy,market,fill,1,gtc,0.0,1,stock,153.6999969482422,0.6506181001010336,0.0
2023-03-14 10:30:00-04:00,BuyEveryDay,f2904c3199cb4ced8fa6356503e5c454,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
