Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,14.0%
,,
Total Return,174%,84%
CAGR% (Annual Return),11.89%,7.03%
,,
Sharpe,0.43,0.23
RoMaD,0.35,0.41
Corr to Benchmark,1.0,0.04
Prob. Sharpe Ratio,20.12%,25.58%
Smart Sharpe,0.43,0.23
Sortino,0.6,0.34
Smart Sortino,0.59,0.34
Sortino/√2,0.42,0.24
Smart Sortino/√2,0.42,0.24
Omega,1.1,1.1
,,
Max Drawdown,-33.68%,-17.11%
Longest DD Days,708,526
Volatility (ann.),18.07%,9.33%
R^2,0.0,0.0
Information Ratio,-0.01,-0.01
Calmar,0.35,0.41
Skew,-0.61,-0.15
Kurtosis,19.68,48.57
,,
Expected Daily%,0.03%,0.02%
Expected Monthly%,0.94%,0.57%
Expected Yearly%,11.86%,7.01%
Daily Value-at-Risk,-1.52%,-0.78%
Expected Shortfall (cVaR),-1.52%,-0.78%
,,
MTD,4.57%,1.33%
3M,11.64%,7.57%
6M,9.33%,2.67%
YTD,26.74%,26.29%
1Y,26.21%,26.29%
3Y (ann.),10.04%,6.21%
5Y (ann.),14.31%,12.65%
10Y (ann.),11.89%,7.03%
All-time (ann.),11.89%,7.03%
,,
Best Day,9.06%,4.96%
Worst Day,-10.94%,-6.32%
Best Month,12.7%,11.54%
Worst Month,-16.07%,-7.02%
Best Year,31.23%,26.89%
Worst Year,-18.51%,-15.88%
,,
Avg. Drawdown,-1.65%,-1.89%
Avg. Drawdown Days,19,63
Recovery Factor,3.43,3.79
Ulcer Index,0.08,0.04
Serenity Index,0.96,0.83
,,
Avg. Up Month,3.72%,2.35%
Avg. Down Month,-5.1%,-2.28%
Win Days,1780.19,1862.83
Loss Days,1497.81,1415.17
Win Days%,54.31%,56.83%
Win Month%,69.44%,59.26%
Win Quarter%,77.78%,63.89%
Win Year%,77.78%,66.67%
,,
Beta,-,0.02
Alpha,-,0.07
Correlation,-,3.61%
Treynor Ratio,-,4219.27%
