Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,14.0%
,,
Total Return,174%,597%
CAGR% (Annual Return),11.89%,24.15%
,,
Sharpe,0.43,0.77
RoMaD,0.35,0.75
Corr to Benchmark,1.0,0.05
Prob. Sharpe Ratio,20.12%,46.9%
Smart Sharpe,0.43,0.77
Sortino,0.6,1.15
Smart Sortino,0.59,1.15
Sortino/√2,0.42,0.82
Smart Sortino/√2,0.42,0.81
Omega,1.33,1.33
,,
Max Drawdown,-33.68%,-32.16%
Longest DD Days,708,651
Volatility (ann.),18.07%,25.76%
R^2,0.0,0.0
Information Ratio,0.02,0.02
Calmar,0.35,0.75
Skew,-0.61,-0.55
Kurtosis,19.68,32.27
,,
Expected Daily%,0.03%,0.06%
Expected Monthly%,0.94%,1.81%
Expected Yearly%,11.86%,24.08%
Daily Value-at-Risk,-1.52%,-2.15%
Expected Shortfall (cVaR),-1.52%,-2.15%
,,
MTD,4.57%,2.14%
3M,11.64%,12.7%
6M,9.33%,4.3%
YTD,26.74%,51.4%
1Y,26.21%,51.4%
3Y (ann.),10.04%,11.04%
5Y (ann.),14.31%,38.52%
10Y (ann.),11.89%,24.15%
All-time (ann.),11.89%,24.15%
,,
Best Day,9.06%,9.63%
Worst Day,-10.94%,-18.13%
Best Month,12.7%,29.04%
Worst Month,-16.07%,-15.13%
Best Year,31.23%,87.25%
Worst Year,-18.51%,-27.6%
,,
Avg. Drawdown,-1.65%,-6.97%
Avg. Drawdown Days,19,75
Recovery Factor,3.43,6.97
Ulcer Index,0.08,0.13
Serenity Index,0.96,0.96
,,
Avg. Up Month,3.72%,8.11%
Avg. Down Month,-5.1%,-7.07%
Win Days,1780.19,1862.83
Loss Days,1497.81,1415.17
Win Days%,54.31%,56.83%
Win Month%,69.44%,59.26%
Win Quarter%,77.78%,66.67%
Win Year%,77.78%,66.67%
,,
Beta,-,0.08
Alpha,-,0.24
Correlation,-,5.44%
Treynor Ratio,-,7636.66%
