datetime,portfolio_value,cash,positions,return
2015-01-02 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2015-01-02 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2015-01-02 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2015-01-12 09:30:00-05:00,100000.10862726376,99990.0,"[{'asset': USD, 'quantity': 99990.0}, {'asset': AAPL, 'quantity': 0.3590986643251318}]",1.0862726376181797e-06
2015-01-22 09:30:00-05:00,99999.690739921,99980.0,"[{'asset': USD, 'quantity': 99980.0}, {'asset': AAPL, 'quantity': 0.7143384559952287}]",-4.178868888149445e-06
2015-02-01 09:30:00-05:00,100001.88267353385,99970.0,"[{'asset': USD, 'quantity': 99970.0}, {'asset': AAPL, 'quantity': 1.0771173352353947}]",2.1919403916381697e-05
2015-02-01 09:29:00-05:00,100001.88267353385,99970.0,"[{'asset': USD, 'quantity': 99970.0}, {'asset': AAPL, 'quantity': 1.0771173352353947}]",0.0
2015-02-02 08:30:00-05:00,100001.78842617791,99970.0,"[{'asset': USD, 'quantity': 99970.0}, {'asset': AAPL, 'quantity': 1.0771173352353947}]",-9.424558160553431e-07
2015-02-02 09:30:00-05:00,100001.78842617791,99970.0,"[{'asset': USD, 'quantity': 99970.0}, {'asset': AAPL, 'quantity': 1.0771173352353947}]",0.0
2015-02-02 09:30:00-05:00,100001.78842617791,99970.0,"[{'asset': USD, 'quantity': 99970.0}, {'asset': AAPL, 'quantity': 1.0771173352353947}]",0.0
2015-02-12 09:30:00-05:00,100004.62387772794,99960.0,"[{'asset': USD, 'quantity': 99960.0}, {'asset': AAPL, 'quantity': 1.4159568012747341}]",2.8354008409836595e-05
2015-02-22 09:30:00-05:00,100005.7331669262,99950.0,"[{'asset': USD, 'quantity': 99950.0}, {'asset': AAPL, 'quantity': 1.7332660252528453}]",1.1092379084587378e-05
2015-02-22 09:29:00-05:00,100005.7331669262,99950.0,"[{'asset': USD, 'quantity': 99950.0}, {'asset': AAPL, 'quantity': 1.7332660252528453}]",0.0
2015-02-23 08:30:00-05:00,100006.33981400217,99950.0,"[{'asset': USD, 'quantity': 99950.0}, {'asset': AAPL, 'quantity': 1.7332660252528453}]",6.066122978820587e-06
2015-02-23 09:30:00-05:00,100006.33981400217,99950.0,"[{'asset': USD, 'quantity': 99950.0}, {'asset': AAPL, 'quantity': 1.7332660252528453}]",0.0
2015-02-23 09:30:00-05:00,100006.33981400217,99950.0,"[{'asset': USD, 'quantity': 99950.0}, {'asset': AAPL, 'quantity': 1.7332660252528453}]",0.0
2015-03-05 09:30:00-05:00,100005.60508479907,99940.0,"[{'asset': USD, 'quantity': 99940.0}, {'asset': AAPL, 'quantity': 2.040910992839362}]",-7.346826255916206e-06
2015-03-15 10:30:00-04:00,100002.84148050923,99930.0,"[{'asset': USD, 'quantity': 99930.0}, {'asset': AAPL, 'quantity': 2.3520013601622467}]",-2.7634493961592455e-05
2015-03-15 10:29:00-04:00,100002.84148050923,99930.0,"[{'asset': USD, 'quantity': 99930.0}, {'asset': AAPL, 'quantity': 2.3520013601622467}]",0.0
2015-03-16 08:30:00-04:00,100004.02924370833,99930.0,"[{'asset': USD, 'quantity': 99930.0}, {'asset': AAPL, 'quantity': 2.3520013601622467}]",1.1877294499917923e-05
2015-03-16 09:30:00-04:00,100004.02924370833,99930.0,"[{'asset': USD, 'quantity': 99930.0}, {'asset': AAPL, 'quantity': 2.3520013601622467}]",0.0
2015-03-16 09:30:00-04:00,100004.02924370833,99930.0,"[{'asset': USD, 'quantity': 99930.0}, {'asset': AAPL, 'quantity': 2.3520013601622467}]",0.0
2015-03-26 09:30:00-04:00,100003.1415626389,99920.0,"[{'asset': USD, 'quantity': 99920.0}, {'asset': AAPL, 'quantity': 2.669713826526101}]",-8.876453040262966e-06
2015-04-05 09:30:00-04:00,100003.06679331913,99910.0,"[{'asset': USD, 'quantity': 99910.0}, {'asset': AAPL, 'quantity': 2.9908184271361464}]",-7.476697092556606e-07
2015-04-05 09:29:00-04:00,100003.06679331913,99910.0,"[{'asset': USD, 'quantity': 99910.0}, {'asset': AAPL, 'quantity': 2.9908184271361464}]",0.0
2015-04-06 08:30:00-04:00,100005.43701555356,99910.0,"[{'asset': USD, 'quantity': 99910.0}, {'asset': AAPL, 'quantity': 2.9908184271361464}]",2.3701495468486655e-05
2015-04-06 09:30:00-04:00,100005.43701555356,99910.0,"[{'asset': USD, 'quantity': 99910.0}, {'asset': AAPL, 'quantity': 2.9908184271361464}]",0.0
2015-04-06 09:30:00-04:00,100005.43701555356,99910.0,"[{'asset': USD, 'quantity': 99910.0}, {'asset': AAPL, 'quantity': 2.9908184271361464}]",0.0
2015-04-16 09:30:00-04:00,100003.71057417593,99900.0,"[{'asset': USD, 'quantity': 99900.0}, {'asset': AAPL, 'quantity': 3.3041998137804023}]",-1.726347515840221e-05
2015-04-26 09:30:00-04:00,100009.83309777701,99890.0,"[{'asset': USD, 'quantity': 99890.0}, {'asset': AAPL, 'quantity': 3.622797974096735}]",6.122296428734408e-05
2015-04-26 09:29:00-04:00,100009.83309777701,99890.0,"[{'asset': USD, 'quantity': 99890.0}, {'asset': AAPL, 'quantity': 3.622797974096735}]",0.0
2015-04-27 08:30:00-04:00,100011.78035998001,99890.0,"[{'asset': USD, 'quantity': 99890.0}, {'asset': AAPL, 'quantity': 3.622797974096735}]",1.9470707456337166e-05
2015-04-27 09:30:00-04:00,100011.78035998001,99890.0,"[{'asset': USD, 'quantity': 99890.0}, {'asset': AAPL, 'quantity': 3.622797974096735}]",0.0
2015-04-27 09:30:00-04:00,100011.78035998001,99890.0,"[{'asset': USD, 'quantity': 99890.0}, {'asset': AAPL, 'quantity': 3.622797974096735}]",0.0
2015-05-07 09:30:00-04:00,100004.15540092906,99880.0,"[{'asset': USD, 'quantity': 99880.0}, {'asset': AAPL, 'quantity': 3.9202842005039713}]",-7.624060909139363e-05
2015-05-17 09:30:00-04:00,100005.95572296208,99870.0,"[{'asset': USD, 'quantity': 99870.0}, {'asset': AAPL, 'quantity': 4.23604043592897}]",1.800247225536289e-05
2015-05-17 09:29:00-04:00,100005.95572296208,99870.0,"[{'asset': USD, 'quantity': 99870.0}, {'asset': AAPL, 'quantity': 4.23604043592897}]",0.0
2015-05-18 08:30:00-04:00,100008.40203372836,99870.0,"[{'asset': USD, 'quantity': 99870.0}, {'asset': AAPL, 'quantity': 4.23604043592897}]",2.446165079450502e-05
2015-05-18 09:30:00-04:00,100008.40203372836,99870.0,"[{'asset': USD, 'quantity': 99870.0}, {'asset': AAPL, 'quantity': 4.23604043592897}]",0.0
2015-05-18 09:30:00-04:00,100008.40203372836,99870.0,"[{'asset': USD, 'quantity': 99870.0}, {'asset': AAPL, 'quantity': 4.23604043592897}]",0.0
2015-05-28 09:30:00-04:00,100009.01521071486,99860.0,"[{'asset': USD, 'quantity': 99860.0}, {'asset': AAPL, 'quantity': 4.542108224227724}]",6.131254714825118e-06
2015-06-07 09:30:00-04:00,100006.19187958483,99850.0,"[{'asset': USD, 'quantity': 99850.0}, {'asset': AAPL, 'quantity': 4.846916585900222}]",-2.8230766237258287e-05
2015-06-07 09:29:00-04:00,100006.19187958483,99850.0,"[{'asset': USD, 'quantity': 99850.0}, {'asset': AAPL, 'quantity': 4.846916585900222}]",0.0
2015-06-08 08:30:00-04:00,100003.52607916048,99850.0,"[{'asset': USD, 'quantity': 99850.0}, {'asset': AAPL, 'quantity': 4.846916585900222}]",-2.6656353714238357e-05
2015-06-08 09:30:00-04:00,100003.52607916048,99850.0,"[{'asset': USD, 'quantity': 99850.0}, {'asset': AAPL, 'quantity': 4.846916585900222}]",0.0
2015-06-08 09:30:00-04:00,100003.52607916048,99850.0,"[{'asset': USD, 'quantity': 99850.0}, {'asset': AAPL, 'quantity': 4.846916585900222}]",0.0
2015-06-18 09:30:00-04:00,100004.82964422173,99840.0,"[{'asset': USD, 'quantity': 99840.0}, {'asset': AAPL, 'quantity': 5.162622986558938}]",1.303519098128092e-05
2015-06-28 09:30:00-04:00,100001.74948838179,99830.0,"[{'asset': USD, 'quantity': 99830.0}, {'asset': AAPL, 'quantity': 5.475832604339472}]",-3.080007086553316e-05
2015-06-28 09:29:00-04:00,100001.74948838179,99830.0,"[{'asset': USD, 'quantity': 99830.0}, {'asset': AAPL, 'quantity': 5.475832604339472}]",0.0
2015-06-29 08:30:00-04:00,100001.90007461395,99830.0,"[{'asset': USD, 'quantity': 99830.0}, {'asset': AAPL, 'quantity': 5.475832604339472}]",1.5058359772446295e-06
2015-06-29 09:30:00-04:00,100001.90007461395,99830.0,"[{'asset': USD, 'quantity': 99830.0}, {'asset': AAPL, 'quantity': 5.475832604339472}]",0.0
2015-06-29 09:30:00-04:00,100001.90007461395,99830.0,"[{'asset': USD, 'quantity': 99830.0}, {'asset': AAPL, 'quantity': 5.475832604339472}]",0.0
2015-07-09 09:30:00-04:00,99996.64167871645,99820.0,"[{'asset': USD, 'quantity': 99820.0}, {'asset': AAPL, 'quantity': 5.794380028861356}]",-5.258295985954842e-05
2015-07-19 09:30:00-04:00,100010.46301787696,99810.0,"[{'asset': USD, 'quantity': 99810.0}, {'asset': AAPL, 'quantity': 6.122410201070189}]",0.00013821803341063088
2015-07-19 09:29:00-04:00,100010.46301787696,99810.0,"[{'asset': USD, 'quantity': 99810.0}, {'asset': AAPL, 'quantity': 6.122410201070189}]",0.0
2015-07-20 08:30:00-04:00,100013.3405581451,99810.0,"[{'asset': USD, 'quantity': 99810.0}, {'asset': AAPL, 'quantity': 6.122410201070189}]",2.8772392220766108e-05
2015-07-20 09:30:00-04:00,100013.3405581451,99810.0,"[{'asset': USD, 'quantity': 99810.0}, {'asset': AAPL, 'quantity': 6.122410201070189}]",0.0
2015-07-20 09:30:00-04:00,100013.3405581451,99810.0,"[{'asset': USD, 'quantity': 99810.0}, {'asset': AAPL, 'quantity': 6.122410201070189}]",0.0
2015-07-30 09:30:00-04:00,99996.88032293109,99800.0,"[{'asset': USD, 'quantity': 99800.0}, {'asset': AAPL, 'quantity': 6.423501643767093}]",-0.0001645803961966008
2015-08-09 09:30:00-04:00,99986.63755365959,99790.0,"[{'asset': USD, 'quantity': 99790.0}, {'asset': AAPL, 'quantity': 6.749765921889766}]",-0.00010243088822792235
2015-08-09 09:29:00-04:00,99986.63755365959,99790.0,"[{'asset': USD, 'quantity': 99790.0}, {'asset': AAPL, 'quantity': 6.749765921889766}]",0.0
2015-08-10 08:30:00-04:00,99988.79747669473,99790.0,"[{'asset': USD, 'quantity': 99790.0}, {'asset': AAPL, 'quantity': 6.749765921889766}]",2.160211692281422e-05
2015-08-10 09:30:00-04:00,99988.79747669473,99790.0,"[{'asset': USD, 'quantity': 99790.0}, {'asset': AAPL, 'quantity': 6.749765921889766}]",0.0
2015-08-10 09:30:00-04:00,99988.79747669473,99790.0,"[{'asset': USD, 'quantity': 99790.0}, {'asset': AAPL, 'quantity': 6.749765921889766}]",0.0
2015-08-20 09:30:00-04:00,99975.71773103255,99780.0,"[{'asset': USD, 'quantity': 99780.0}, {'asset': AAPL, 'quantity': 7.089295680220385}]",-0.00013081211087906386
2015-08-30 09:30:00-04:00,99978.69833462617,99770.0,"[{'asset': USD, 'quantity': 99770.0}, {'asset': AAPL, 'quantity': 7.451516090339547}]",2.9813275275847317e-05
2015-08-30 09:29:00-04:00,99978.69833462617,99770.0,"[{'asset': USD, 'quantity': 99770.0}, {'asset': AAPL, 'quantity': 7.451516090339547}]",0.0
2015-08-31 08:30:00-04:00,99975.19612718026,99770.0,"[{'asset': USD, 'quantity': 99770.0}, {'asset': AAPL, 'quantity': 7.451516090339547}]",-3.502953633371941e-05
2015-08-31 09:30:00-04:00,99975.19612718026,99770.0,"[{'asset': USD, 'quantity': 99770.0}, {'asset': AAPL, 'quantity': 7.451516090339547}]",0.0
2015-08-31 09:30:00-04:00,99975.19612718026,99770.0,"[{'asset': USD, 'quantity': 99770.0}, {'asset': AAPL, 'quantity': 7.451516090339547}]",0.0
2015-09-10 09:30:00-04:00,99978.40013546297,99760.0,"[{'asset': USD, 'quantity': 99760.0}, {'asset': AAPL, 'quantity': 7.814657256439325}]",3.204803198020301e-05
2015-09-20 09:30:00-04:00,99982.24119122676,99750.0,"[{'asset': USD, 'quantity': 99750.0}, {'asset': AAPL, 'quantity': 8.172471011447929}]",3.841885605870843e-05
2015-09-20 09:29:00-04:00,99982.24119122676,99750.0,"[{'asset': USD, 'quantity': 99750.0}, {'asset': AAPL, 'quantity': 8.172471011447929}]",0.0
2015-09-21 08:30:00-04:00,99981.6486852079,99750.0,"[{'asset': USD, 'quantity': 99750.0}, {'asset': AAPL, 'quantity': 8.172471011447929}]",-5.926112595644462e-06
2015-09-21 09:30:00-04:00,99981.6486852079,99750.0,"[{'asset': USD, 'quantity': 99750.0}, {'asset': AAPL, 'quantity': 8.172471011447929}]",0.0
2015-09-21 09:30:00-04:00,99981.6486852079,99750.0,"[{'asset': USD, 'quantity': 99750.0}, {'asset': AAPL, 'quantity': 8.172471011447929}]",0.0
2015-10-01 09:30:00-04:00,99970.20352476447,99740.0,"[{'asset': USD, 'quantity': 99740.0}, {'asset': AAPL, 'quantity': 8.52526692756173}]",-0.00011447261166364076
2015-10-11 09:30:00-04:00,99980.70033901946,99730.0,"[{'asset': USD, 'quantity': 99730.0}, {'asset': AAPL, 'quantity': 8.895603000229787}]",0.00010499942867858714
2015-10-11 09:29:00-04:00,99980.70033901946,99730.0,"[{'asset': USD, 'quantity': 99730.0}, {'asset': AAPL, 'quantity': 8.895603000229787}]",0.0
2015-10-12 08:30:00-04:00,99976.45268044269,99730.0,"[{'asset': USD, 'quantity': 99730.0}, {'asset': AAPL, 'quantity': 8.895603000229787}]",-4.2484785187202334e-05
2015-10-12 09:30:00-04:00,99976.45268044269,99730.0,"[{'asset': USD, 'quantity': 99730.0}, {'asset': AAPL, 'quantity': 8.895603000229787}]",0.0
2015-10-12 09:30:00-04:00,99976.45268044269,99730.0,"[{'asset': USD, 'quantity': 99730.0}, {'asset': AAPL, 'quantity': 8.895603000229787}]",0.0
2015-10-22 09:30:00-04:00,99990.0598006447,99720.0,"[{'asset': USD, 'quantity': 99720.0}, {'asset': AAPL, 'quantity': 9.256548678899268}]",0.0001361032506874693
2015-11-01 08:30:00-05:00,100000.35506056403,99710.0,"[{'asset': USD, 'quantity': 99710.0}, {'asset': AAPL, 'quantity': 9.59930789951639}]",0.00010296283390442973
2015-11-01 08:29:00-05:00,100000.35506056403,99710.0,"[{'asset': USD, 'quantity': 99710.0}, {'asset': AAPL, 'quantity': 9.59930789951639}]",0.0
